No.;komentar
905; Baik untuk si kecil ku , ketika demam panas saya kasih minyak zaitun ini dan Alhamdulillah ketika lap2 bagian yang panas , Alhamdulillah panas nya turun selain itu banyak manfaat lainnya i like this zaitun
906; mencerahkannn
907; Minyak zaitunnya lembut dan harum.  Cepat meresap ke kulit.  Melembabkan kulit , cocok untuk pijat .  Harumnya segar .
908; wangi sekali , saya suka
909; barangnya bagus , kualitas baik ,
910; bagus sekali , sangat keren , rekomen banget pokoknya ,
911; Cocok untuk pijat , harum murah terima kasih👍🏻👍🏻👍🏻👍🏻👍🏻
912; baguss bagussssss
913; Alhamdulillah mintak zaitunya harum ada biji zaitunya juga didalamnya
914; Baru nyoba minyak nya herborist , semoga aja cocok buat campuran lulurann
915; tenks ga nyesel beli , bagus polIIIIII
916; wangi banget , selalu suka sama produk ini , besok beli lagi klo habis ,
917; wanginya enak seger gituu
918; Baunya enak melembabkan sekali buat kulit kering ,, bisa juga buat minyak urut
919; Mantul pokoknya
920; Mantab , Wanginya enak bgt... Buat pijit baunya bikin refresh
921; Oriii Lembut Wangi .. direkomendasikan ..
922; Harum banget
923; Mantap👍🏻👍🏻👍🏻👍🏻👍🏻
924; Bagus benerrr Sukak bangettttt
925; Sudah sering beli di toko ini , ini papan herborist utk yg kesekian kali .
926; bagus mantaaap
927; Beli minyak zaitun herborist karena pengen nyoba aja
928; Wangi wangi khas herborist , enak buat pijat + bersihkan make up
929; Cocok Untuk Kulit tangan , kaki dan badan
930; Direkomendasikan.  Wangi.  Lembut .. enak ..
931; Sudah dipakai pijat .. wanginya enak ..
932; Bagus buat kulit kering juga ini biar kulit jadi lembab dan gak bersisik Mkaasi kak ,
933; Udah lama pake ini wanginya g bikin pusing d kepala dan bisa juga di campur k masker
934; Selalu pakai tiap selesai mandi
935; Wanginya saya suka , buat pijat enak banget nyaman banget oh
936; Sangat pengaruh sih , buat pijat2 badan anak dll , supaya gak bau apek dibagian mangkanya pake minyak ini .
937; Untuk minyak urut lebih praktis
938; Barang bagus dan menarik deh suka deh pokoknya
939; enak banget wanginyaa tuh
940; Semoga cocok sm kulit aku biar bisa langgangan
941; Enak gak lengket di kulit , cepat meresap di kulit .  Terima kasih penjual.  direkomendasikan .  ^^
942; enak banget sii ini harganya murahh banget sukaa
943; Aku pakai ini di malam hari pagi nya manteb banget di muka..jd bersih
944; Efektif untuk membersihkan dan pijat
945; Kualitas produk sangat baik
946; Baguuuuuus ...
947; Minyak zaitun multifungsi yang memiliki aroma terapi yang super nikmat , menenangkan dan bermanfaat untuk segala masalah kulit , kulit kering , pecah , jerawat , luka , pemijatan .
948; Minyak yg kudu wajib ada di rumah .  Untuk pijat2 oke .
949; Tidak lengket, cocok untuk kulit saya, terima kasih kak
950; wangi sih , tapi setelah dicampur pakai lulur , bau kamar mandi jadi gak enak bangettt
951; Alhamdulillah sukak sama minyak ini mantap
952; wangi bangeet
953; Minyak pijat ori herborist Udah langganan .  Direkomendasikan.
954; Cocok Untuk kulit agar lembab , untuk pijat .
955; Wangi bau nya bikin betah maskeran melembabkan dan enak buat pijat dan relax
956; Pertama kali coba ternyata wangii bngt kek minyak orang aring + baby oil ,,,
957; Suka banget baru nyoba pertama ini aroma baunya wangi awet bangettt
958; Wanginya lembut
959; Kualitas produk baik , produk original , harga produk baik .
960; Maaf ya kak baru kasih nilai sekarang , baunya wangi.pokoknya aq suka
961; Baru pertama nyoba .. semoga cocok aja dengan produk nya
962; Suka sama harumnya memang biasa pake tapi baru pertama pesen dsni..mksh ya
963; Wanginya enak banget,
964; Aroma wangi  khas dan tahan lama
965; Cocok untuk semua jenis kulit terutama kulit yang cenderung kering
966; enak dikulit bisa menghilangkan bekas luka ataupun goresan dikulit
967; Baunya Harum....enak....Nenangin banget...
968; wangi ny jg enak sukaaa bangeet deh
969; rekomended pokoknya
970; enak buat urutan minyaknya
971; Wangi dan lembut minyaknya ..
972; Harumnya khas kesukaan
973; texturnya cair agak kental
974; enak dipakai ( gatau sih , yang pake ceweku . aku ga pake sih bodoamat , pokoknya dia puas ya aku kasih bintang 5 ) oke sekian dan makasi .
975; Harga oke.  Layak untuk dibeli sih ini minyak zaitun krna bisa digunakan bersama handbody , scrub lulur .  Bener2 melembutkan kulit banget .  Kulit auto plumpy
976; minyak zaitun favorit dan emg recomended banget buat kulit kering harganya pun murah
977; Suka bangt dengan mintyak zaitun herboris dr dulu sy sdh pakai , akhir banyk juga yg pakai , wangix ndak menusuk , harga sangt baik ,
978; sukak banget sama zaitun herborist baunya wangi banget biasanya sih tak pake kalo mau tidur sama pas mau pergi² biar kulit ndak kering
979; wanginya soft
980; baik untuk urut dan segala untuk rambut
981; Sangat wangi sekali wanginya seperti zaitun murni yang bagus
982; Terima kasih produk sudah sampai..semoga bermanfaat ,
983; baunya harum ,,
984; Wanginya enak, mudah di pakenya..
985; Harga murce , udah sering pake minyak zaitun .
986; Barangnya bagus👍🏻
987; Barang datang dalam kondisi aman , tapi belum dicoba karena belum pernah coba , ini direkomendasikan oleh ART saya katanya enak utk pijat
988; Wangi bgt suka deh
989; minyakn herborist wangi yang saya suka .
990; Belum dicoba semoga cocok, bagusss
991; Melembabkan kulit bisa untuk rambut dan wajah juga
992; Ngga nyesel pokoknya habis ini mau co lagi
993; wanginya enak dan tidak lengket
994; Mau nyobain pake ini dibarengin sm scrub semogaa bisa mencerahkan
995; Minyak nya wangi cocok buat urut kulit juga jadi wangi
996; Bagus ini ya kan makanya itu dipake nya minyak nya jadi enak pas gitu
997; Suka sama minyak zaitunnya , bisa digunain buat apa aja Harga juga murah
998; + ada wanginya enak banget plissss
999; Baik
1000; Minyak zaitun nya jga bisa buat menghilangkan bau keti guys , walau dibilangnyaa buat mijet hehehe .
1001; Minyak zaitun yang sangat bermanfaat sangat bagus untuk kulit
1002; Wanginya enak kalo menurut ku heheh
1003; Barang oke,, lembut,,,
1004; Mantul bngt langganan pakai minyak zaitun herborist ini the best
1005; bagussss, mantab, is the best
1006; wanginya suka , baru pertama nih pake minyak zaitun herborist semoga gak iritasi di kulit , agak lengket bila berkeringat hehe
