No.;komentar
205; Udah sering banget nobain minyak zaitun dan kualitas masih tetap sama.
206; baguss, lembut dipakai di tubuh, cocok untuk dipakai ngurut.
207; Gatau belum efeknya gimana karna baru ini pertama pake beda gini mudah2 an cocok di aku soalnya lagi banyak jerawat.
208; Minyaknya sangat membantu mengatasi kulit kering
209; Udah lama pakai minyak zaitun ini dikomboin sama lulur bagus banget ngelembapin.
210; Ter best lah pokoknyaa..
211; Sudah lama pakai produk ini habis beli lagi, bisa dijadikan campuran minyak urut utk pegal2
212; wanginyaa tuh enak bangett, lembutt
213; Sumpah harum bgt Next time bakal order insyaallah selalu berlangganan.
214; Recomended banget, wangi nya enakk, tahan lama, mantapp. Recomended banget, wangi nya enakk, tahan lama, mantapp.
215; Next bakal order lagii, wanginya enak dan bikin kulit lembab
216; saya sudah coba pakai dan bagus banget, ada biji zaitun nya juga di dalam nya.
217; Mudah2an cucok untuk rangkaian perawatan.
218; Buat urut dan pegall2 kalau dirumah juga bisa.
219; Minyaknya bermanfaat banget buat kulit, apalagi kalau diaplikasikan sebelum luluran, bikin kulit lebih lembut.
220; Cocok untuk perawatan kulit.
221; Minyaknya bagus dan sudah bpom heheheh.
222; Bagus pakek banget lah
223; Wanginya suka, bisa melembabkan kulit dan selalu kenyal.
224; Melembabkan area yang kering pada tubuh.
225; Mampu mencerahkan kulit juga kalau dipakai rutin.
226; minyak zaitun herborist bagus banget dimix sama lulur. Bikin badan jadi lembab.
227; Suka aja banyak manfaatnya minyak zaitun ini.
228; Enak juga kalau buat message tubuh.
229; Wanginyaa khas dan tahan lama
230; Suka banget sama wanginya, cocok deh untuk kulit aku walaupun bru pertama pake, mau order utk berikutnya.
231; Kualitasnya udah gk diragukan lagi, best lah
232; Bagus, lembut dikulit suka dengan minyak zaitun ini, habis pasti beli lagi.
233; Bisa digunakan untuk pijat dikulit.
234; Udah lama pake ini dan cocok banget untuk kulitku.
235; Beli kembali lagi karena wanginya enak untuk pijat.. Mantap pokoknya
236; Wangi minyak nya bisa untuk melembabkan kulit semoga cocok dan jadi langganan.
237; Wangi banget, ada bauu melatinyaa..
238; Minyaknya mudah meresap dan gk lengket.
239; Sangat efektif untuk pijat, dan wanginya juga enak.
240; Minyak zaitun nya wangi dan saya suka dengan aromanya untuk dipakai sebagai minyak pijat.
241; Bagus banget untuk pijat dan urut juga untuk pengganti micellar water.
242; WANGINYA ENAK BAT semoga cocok.
243; Lembut banget saat dipake ke tubuh..
244; Ampuh melembabkan kulitku yang kering.
245; Selalu suka sama wangi nya yg lembut banget cocok banget kalau digabungin sama scrub.
246; Di mix dengan luluran mantap bikin kulit lembut
247; Beli ini untuk luluran bagus banget dan untuk membersihkan maskara juga nampol sekali, ga perlu pakai micellar water cukup ini bagus banget pkoknya.
248; Wangi nyaa bikinn nagihh.
249; Suka karna wangi, dan sudah berlangganan beli ini
250; Minyak zaitunnya wangi.
251; Enak di pakai , bisa untuk kulit jadi sehat gitu kulitnya, gak ada kurang samsek.
252; Bikin kulitt lebih lembab.
253; Suka banget sama minyak zaitun selain banyak manfaatnya, aromanya juga wangi.  Mama aku suka pakai minyak ini.  Terima kasih
254; Wangi nya juga enak gak bikin pusing. Sangat baik diaplikasikan ke tangan sebelum luluran.
255; wanginyaa nampoll dan tahan banget
256; Mau coba oil zaitun semoga membantu kulit perut Karena hamil TM 3.
257; Selalu pakai Minyak zaitun ini untuk urut.
258; Wanginya enak, enak , lope lope.  Terima kasih
259; Herboist wanginya enak ga nyengat kyk brand lainnnnnnnn.
260; Enak melembabkan dan menghaluskan juga untuk pijat, wanginya enak, semoga awet dan cocok.
261; Teksturnya lembut agak berminyak tapi langsung menyerap ke kulit tdk lengket.
262; Bagus buat melembutkan kulit yg kasar.
263; Wanginya tenang, untuk penggunaan belum tau lengket apa nggak.
264; Sejauh ini cocok2 aja untuk kulitku.
265; Recomended banget buat dijadiin minyak pijit.
266; Wanginya soft dan gk bikinn pusing.
267; baunya harum bener kalo habis nanti mau beli lagi lah baru pertama kali coba semoga benar² bagus untuk kulit aku.
268; Herborist zaitun, sdh 5thn saya pakai produk ini, karena aromanya seger banget, khas bali banget bikin rilexs dan tenang.
269; Dari dulu slalu pake herborist, Alhamdulillah cocok.
270; Bagus, kualitas bagus.
271; Cocok untuk ngerik dan mijaatt, aromaa wangi.
272; Pas di buka kaget banget wanginya enak.
273; Wangi minyaknya bisa buat ngurut, ukurannya pas, bisa dibawa kemana - mana, harganyapun terjangkau.
274; Suka banget sm minyak zaitunnya herborist, wanginya enak kaya ada jasminenya gitu, kadang dicampur sm body lotion biar makin lembab.
275; Di dalam botol minyak zaitun terdapat 2 buah biji zaitun, aroma wangi,
276; Bagus sih... wangi juga... Semoga cocok di kulit aku maksih..
277; Mantap poll Baru kali ini pesen semoga cocok dan aman buat badan.
278; Bagus sekali untuk melembabkan dan dapat mencerahkan juga.
279; Wanginyaa okeee banget.
280; Cocok untuk pijat enak wanginya dan sangat mudah dibersihkan makasih.
281; Bagus wangi sekali cocok untuk pijat² jika ingin beli guys jangan ragu² bagus cucok deeh.
282; Wangi ga bau sama sekali enak bgt kalo buat pijat muka pake roller trus pake ini, nyaman krna wanginya bikin relax.
283; Bagus untuk kulit yang sering kering.
284; Sangat wangi sekali wanginya seperti zaitun murni yang bagus.
285; Wanginya enak, mudah di pakenya..
286; Dikombinasikan dengan lulus juga pas banget.
287; Wangi bangeet suka deeh.
288; Buat body message enak juga ternyata
289; Wanginyaa gk bikin enek, pas.
290; Bisa juga dipake buat luluran..
291; Tekstur wangi banget minyak zaitunnya..cocok jd parfum juga ...
292; Untuk pijet pas bgt bagi aku wangii hihiii
293; sukaaaa bangetttt terima kasihhh semoga bisa berlangganan teruss
294; Minyak zaitun nya banyak manfaatnya
295; Harum minyak nya seger klo buat pijit2
296; Saya suka sekali
